shape	Ip	Fp	N_x	N_y	D	A	B	beta	E	COF	LCC	h_min
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.5	0.05252816504288405	85.47670819659052	3.75010834190503e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.6	0.03619186649444511	132.35596218329127	3.000000231351051e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.7	0.02371060789148098	227.10615124876514	2.25008279682982e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.8	0.01462372528489068	436.9103088135817	1.5001785505479205e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.9	0.007342313755046866	1184.7354756640284	7.500015000118054e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.91	0.006690255719189968	1364.9331842590632	6.750325977860519e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.92	0.006040480025764146	1594.8442161318426	6.001505915426414e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.93	0.0054025688644405035	1896.8407849005291	5.251278836285705e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.94	0.00476875222515309	2308.6074691240374	4.500008100871952e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.95	0.004140166987410106	2898.151883064567	3.7524865279716264e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.96	0.0034983627725462224	3804.853570231955	3.0004054816131883e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.97	0.0028561287603637714	5354.879234223903	2.250125588580029e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.98	0.0021774596255762246	8552.218285935422	1.5021647631157652e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.985	0.0018183666237700418	11818.397392118304	1.1252185874383923e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.1	0.34358644772406155	11.087416234699615	6.75000090373625e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.2	0.16933188416661696	23.243290084769477	6.000020939326041e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.3	0.1069350252406508	38.16404913510437	5.250000231845265e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.4	0.07295408577914383	58.38299367599953	4.5000444428933965e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.5	0.05076201627620904	88.50000505190982	3.7501173532229736e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.6	0.03490998945200816	138.21357232874684	3.0000787810854927e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.7	0.02302565283396768	231.91538782932506	2.250192992380292e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.8	0.013946249993114734	449.5540148941943	1.500095921990958e-05
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.9	0.006893043556159125	1233.5564319624052	7.500474609845913e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.91	0.006264956640688442	1423.2118034575883	6.750046306757659e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.92	0.005653576182117097	1665.1409631989732	6.000219230073974e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.93	0.0050492344583177055	1983.0118978545765	5.252034446479802e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.94	0.004455655939277211	2416.1719185169545	4.500309376381666e-06
